"V1","V2"
163,2
163,4
163,13
163,15
164,1
164,2
164,4
164,7
164,13
165,1
165,2
165,5
165,7
165,17
166,7
166,9
166,12
166,14
166,15
167,1
167,4
167,7
167,11
167,13
168,1
168,5
168,12
168,14
168,15
169,4
169,7
169,12
169,13
169,15
170,1
170,2
170,4
170,14
170,15
171,1
171,4
171,9
171,13
171,15
172,1
172,4
172,13
172,14
172,15
173,1
173,2
173,4
173,9
173,15
174,2
174,5
174,7
174,13
174,16
175,1
175,2
175,3
175,7
175,13
176,1
176,3
176,5
176,14
176,15
177,1
177,4
177,9
177,13
177,14
178,1
178,2
178,4
178,7
178,15
179,3
179,4
179,7
179,13
179,14
180,7
180,9
180,12
180,15
180,16
181,1
181,4
181,7
181,9
181,13
182,4
182,5
182,7
182,14
182,15
183,2
183,3
183,7
183,13
183,16
184,5
184,7
184,12
184,14
184,15
185,1
185,9
185,12
185,14
185,15
186,1
186,2
186,10
186,14
186,15
187,4
187,7
187,9
187,13
187,15
188,1
188,9
188,14
188,16
188,17
189,4
189,5
189,7
189,9
189,12
190,4
190,7
190,9
190,14
190,15
191,2
191,3
191,4
191,11
191,13
192,1
192,2
192,7
192,14
192,15
193,1
193,5
193,9
193,12
193,15
194,2
194,7
194,9
194,14
194,15
195,1
195,3
195,7
195,14
195,15
196,4
196,7
196,11
196,13
196,16
197,2
197,3
197,4
197,13
197,14
198,3
198,7
198,13
198,14
198,16
199,1
199,7
199,9
199,15
199,16
200,1
200,2
200,3
200,4
200,14
201,1
201,2
201,5
201,12
201,13
202,3
202,5
202,7
202,9
202,12
203,5
203,7
203,9
203,12
203,13
204,2
204,3
204,4
204,10
204,14
205,1
205,5
205,8
205,12
205,15
206,1
206,5
206,7
206,15
206,16
207,1
207,4
207,7
207,9
207,15
208,1
208,3
208,8
208,14
208,15
209,2
209,7
209,13
209,14
209,15
210,1
210,2
210,7
210,16
210,17
211,2
211,5
211,7
211,9
211,12
212,1
212,6
212,7
212,13
212,16
213,2
213,5
213,7
213,12
213,15
214,2
214,5
214,7
214,12
214,13
215,1
215,5
215,9
215,14
215,15
216,1
216,2
216,5
216,9
216,15
217,1
217,9
217,10
217,14
217,15
218,1
218,2
218,7
218,9
218,14
219,1
219,3
219,4
219,13
219,14
220,1
220,7
220,12
220,15
220,16
221,1
221,2
221,3
221,4
221,10
222,7
222,8
222,12
222,13
222,14
223,2
223,3
223,7
223,14
223,16
224,2
224,4
224,11
224,13
224,14
225,1
225,7
225,12
225,14
225,15
226,1
226,2
226,3
226,4
226,13
227,1
227,3
227,4
227,9
227,15
228,1
228,2
228,3
228,4
228,15
229,1
229,2
229,3
229,12
229,14
230,2
230,3
230,9
230,14
230,15
231,2
231,6
231,7
